Pos,FirstName,Surname,Laps,Time/Retired,PTS,Country,Day,Month,Year,Event
NC,Max,Verstappen,0,DNF,0,Sakhir,6,dec.,2020,Race result
NC,Lance,Stroll,2,DNF,0,Bahrain,29,nov.,2020,Race result
NC,Kevin,Magnussen,17,DNF,0,Italy,6,Sep,2020,Race result
NC,Esteban,Ocon,27,DNF,0,Emilia Romagna,1,nov.,2020,Race result
NC,Lance,Stroll,51,DNF,0,Portugal,25,Oct,2020,Race result
NC,Lance,Stroll,42,DNF,0,Tuscany,13,Sep,2020,Race result
NC,Romain,Grosjean,0,DNF,0,Russia,29,Sep,2019,Race result
NC,Kevin,Magnussen,6,DNF,0,Great Britain,14,Jul,2019,Race result
NC,Daniel,Ricciardo,24,DNF,0,Russia,29,Sep,2019,Race result
NC,Lando,Norris,44,DNF,0,Spain,12,May,2019,Race result
NC,Carlos,Sainz,1,DNF,0,Belgium,1,Sep,2019,Race result
NC,Kimi,Räikkönen,58,DNF,0,Mexico,27,Oct,2019,Race result
NC,Sebastian,Vettel,7,DNF,0,United States,3,nov.,2019,Race result
NC,Charles,Leclerc,16,DNF,0,Monaco,26,May,2019,Race result
NC,Daniel,Ricciardo,13,DNF,0,Germany,28,Jul,2019,Race result
NC,Lance,Stroll,44,DNF,0,Spain,12,May,2019,Race result
NC,Nico,Hulkenberg,39,DNF,0,Germany,28,Jul,2019,Race result
NC,Sergio,Perez,1,DNF,0,Germany,28,Jul,2019,Race result
NC,Kevin,Magnussen,43,DNF,0,Italy,8,Sep,2019,Race result
NC,Antonio,Giovinazzi,18,DNF,0,Great Britain,14,Jul,2019,Race result
NC,Sergio,Perez,42,DNF,0,Singapore,22,Sep,2019,Race result
NC,Romain,Grosjean,38,DNF,0,Azerbaijan,28,Apr,2019,Race result
NC,Kimi,Räikkönen,49,DNF,0,Singapore,22,Sep,2019,Race result
NC,Carlos,Sainz,27,DNF,0,Italy,8,Sep,2019,Race result
NC,George,Russell,27,DNF,0,Russia,29,Sep,2019,Race result
NC,Nico,Hulkenberg,16,DNF,0,China,14,Apr,2019,Race result
NC,Valtteri,Bottas,56,DNF,0,Germany,28,Jul,2019,Race result
NC,Alexander,Albon,59,DNF,0,Canada,9,Jun,2019,Race result
NC,Lando,Norris,8,DNF,0,Canada,9,Jun,2019,Race result
NC,George,Russell,34,DNF,0,Singapore,22,Sep,2019,Race result
NC,Max,Verstappen,0,DNF,0,Belgium,1,Sep,2019,Race result
NC,Max,Verstappen,14,DNF,0,Japan,13,Oct,2019,Race result
NC,Daniil,Kvyat,33,DNF,0,Azerbaijan,28,Apr,2019,Race result
NC,Romain,Grosjean,49,DNF,0,Hungary,4,aug.,2019,Race result
NC,Sebastian,Vettel,26,DNF,0,Russia,29,Sep,2019,Race result
NC,Pierre,Gasly,38,DNF,0,Azerbaijan,28,Apr,2019,Race result
NC,Carlos,Sainz,9,DNF,0,Australia,17,Mar,2019,Race result
NC,Lando,Norris,48,DNF,0,Mexico,27,Oct,2019,Race result
NC,Daniel,Ricciardo,31,DNF,0,Azerbaijan,28,Apr,2019,Race result
NC,Robert,Kubica,31,DNF,0,United States,3,nov.,2019,Race result
NC,Romain,Grosjean,44,DNF,0,France,23,Jun,2019,Race result
NC,Lando,Norris,25,DNF,0,Germany,28,Jul,2019,Race result
NC,Robert,Kubica,28,DNF,0,Russia,29,Sep,2019,Race result
NC,Valtteri,Bottas,51,DNF,0,Brazil,17,nov.,2019,Race result
NC,Lance,Stroll,45,DNF,0,Abu Dhabi,1,dec.,2019,Race result
NC,Daniil,Kvyat,41,DNF,0,China,14,Apr,2019,Race result
NC,Romain,Grosjean,9,DNF,0,Great Britain,14,Jul,2019,Race result
NC,Daniil,Kvyat,29,DNF,0,Italy,8,Sep,2019,Race result
NC,Romain,Grosjean,16,DNF,0,Bahrain,31,Mar,2019,Race result
NC,Daniel,Ricciardo,28,DNF,0,Australia,17,Mar,2019,Race result
NC,Charles,Leclerc,27,DNF,0,Germany,28,Jul,2019,Race result
NC,Romain,Grosjean,29,DNF,0,Australia,17,Mar,2019,Race result
NC,Max,Verstappen,5,DNF,0,Hungary,29,Jul,2018,Race result
NC,Nico,Hulkenberg,32,DNF,0,Brazil,11,nov.,2018,Race result
NC,Romain,Grosjean,42,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Romain,Grosjean,0,DNF,0,Spain,13,May,2018,Race result
NC,Stoffel,Vandoorne,45,DNF,0,Spain,13,May,2018,Race result
NC,Fernando,Alonso,40,DNF,0,Canada,10,Jun,2018,Race result
NC,Daniel,Ricciardo,1,DNF,0,Bahrain,8,Apr,2018,Race result
NC,Charles,Leclerc,0,DNF,0,Belgium,26,aug.,2018,Race result
NC,Nico,Hulkenberg,10,DNF,0,Azerbaijan,29,Apr,2018,Race result
NC,Brendon,Hartley,0,DNF,0,Italy,2,Sep,2018,Race result
NC,Nico,Hulkenberg,0,DNF,0,Abu Dhabi,25,nov.,2018,Race result
NC,Pierre,Gasly,0,DNF,0,Spain,13,May,2018,Race result
NC,Esteban,Ocon,0,DNF,0,France,24,Jun,2018,Race result
NC,Romain,Grosjean,37,DNF,0,Great Britain,8,Jul,2018,Race result
NC,Lewis,Hamilton,62,DNF,0,Austria,1,Jul,2018,Race result
NC,Fernando,Alonso,52,DNF,0,Monaco,27,May,2018,Race result
